Rate,Method,MAE,RMSE,PSNR,SSIM,IoU,Time
0.1,DBSCANR,11.697737374773512,18.018675308565747,32.28399865492277,0.9531105065085863,0.9953498521824521,10.241772651672363
0.1,AR-DBSCAN,57.65509744927434,76.69549850032145,19.703058352892178,0.9109637947444482,0.9609883290292875,2.9342586994171143
0.1,GB-DBSCAN,49.453448336957564,64.81606514044341,21.164802598536543,0.9142519663883728,0.9626385637004468,44.086905002593994
0.1,HDBSCAN,13.085311146698194,19.603204955096373,31.55191423335095,0.9520353225744687,0.9954870037132247,6.4315314292907715
0.1,KNN-DBSCAN,55.475187825007744,67.2296385158879,20.847240322251462,0.9069473582602627,0.9544062826184204,9.815176725387573
0.1,K-Means,29.688347472346162,35.93896150650602,27.00599544614679,0.9193241472146116,0.968947374202265,0.3512709140777588
0.1,Spectral,30.497075618143786,36.424816024223226,26.88935857951389,0.9191318953211323,0.9749636480916615,0.9234161376953125
0.1,DBSCAN,52.36665670647451,61.66452848680248,22.31659761648992,0.9079999117345582,0.9159588825636499,8.854557037353516
0.1,DBSCANR,11.62234234800283,16.725649056112914,33.649646317190346,0.9510827907074916,0.9823277883527821,10.262370824813843
0.1,AR-DBSCAN,52.422469577121994,61.641090419340685,22.31989966341301,0.9078993078395605,0.9159588825636499,4.314112424850464
0.1,GB-DBSCAN,40.55468711221708,51.32998903665247,23.909882487425712,0.9165163678602343,0.9381590092969355,46.43021202087402
0.1,HDBSCAN,52.36691084980954,61.66441456485291,22.316613663225695,0.9079994531568693,0.9159588825636499,6.8493499755859375
0.1,KNN-DBSCAN,52.36665670647451,61.66452848680248,22.31659761648992,0.9079999117345582,0.9159588825636499,8.850505828857422
0.1,K-Means,29.099773135503682,36.04117637045374,26.989757902212844,0.9131668057680637,0.9780055928801011,0.31275343894958496
0.1,Spectral,40.211663856573125,47.98774174923097,24.503130797377878,0.9040532000424274,0.9557335220818659,0.906702995300293
0.1,DBSCAN,47.858158334584246,57.10518822566665,22.992225709954134,0.9014724458655007,0.927220859925191,8.65351390838623
0.1,DBSCANR,15.664289174317847,23.45783431400286,30.719978767628294,0.9414226178624037,0.9777336375534219,10.706129312515259
0.1,AR-DBSCAN,47.31899320050656,59.369332147853925,22.6544937866111,0.9043194831593431,0.9366104382535473,6.979481220245361
0.1,GB-DBSCAN,47.50578026577185,56.912387187545605,23.02160100809254,0.9024672051144603,0.927220859925191,45.48655462265015
0.1,HDBSCAN,13.225495623714503,20.936640257889817,31.7075972395493,0.9516495349894509,0.9813059703658134,7.017617702484131
0.1,KNN-DBSCAN,47.858158334584246,57.10518822566665,22.992225709954134,0.9014724458655007,0.927220859925191,8.589771747589111
0.1,K-Means,34.528907927950456,42.31255532680945,25.42796635300437,0.9178600785293504,0.8815408951853994,0.34555721282958984
0.1,Spectral,42.21399856914413,48.565819735613985,24.23073696046382,0.9077714474775346,0.8779232159482995,1.0111629962921143
0.1,DBSCAN,43.38026417662164,50.91482705396056,23.820465972903357,0.9105656908325983,0.8673446519318946,7.857248544692993
0.1,DBSCANR,17.42891477859795,23.6292079779786,30.488368133865038,0.9350541394989171,0.9707504277349475,10.29066777229309
0.1,AR-DBSCAN,43.6356435196186,51.39661933308037,23.73866035591238,0.9108866808583346,0.8741057257966061,4.987600326538086
0.1,GB-DBSCAN,41.20286926466861,47.73337381612083,24.38090879947195,0.9121257577842667,0.877007312681439,46.12855648994446
0.1,HDBSCAN,14.78877087364899,21.125738391019244,31.461113482355856,0.9424506007550423,0.9727260917426175,7.009043216705322
0.1,KNN-DBSCAN,43.38026417662164,50.91482705396056,23.820465972903357,0.9105656908325983,0.8673446519318946,7.90556001663208
0.1,K-Means,27.871593843117267,34.279550272489466,26.544961173630877,0.9200297604232692,0.9522677201245917,0.34969449043273926
0.1,Spectral,37.7147722850304,45.847835071624246,24.019286822338014,0.9119914384695609,0.919175075426772,0.9174215793609619
0.1,DBSCAN,45.29489099650015,54.67570550042254,22.48977557354994,0.9088127798892672,0.821595238095238,8.36565089225769
0.1,DBSCANR,13.569280020004808,19.672846898815873,31.36831924304741,0.9413657803504737,0.9657840115730549,10.18319296836853
0.1,AR-DBSCAN,45.33925579488709,54.752189882562696,22.47763360539526,0.9088158171643065,0.821595238095238,3.776979684829712
0.1,GB-DBSCAN,42.72741153392355,51.2473082331688,23.052242305794532,0.9098427689209329,0.8443512233040937,43.967010498046875
0.1,HDBSCAN,12.961353666460097,18.582425056324755,31.863615686620545,0.9487036621204272,0.9834345316583629,6.451389789581299
0.1,KNN-DBSCAN,45.29489099650015,54.67570550042254,22.48977557354994,0.9088127798892672,0.821595238095238,8.505502700805664
0.1,K-Means,28.252118595519708,35.64243643311432,26.99032470100018,0.9193945610095412,0.9722137534475791,0.32582569122314453
0.1,Spectral,41.49370780239548,52.06665288415515,23.698479178376072,0.9087781584932645,0.9304197371739191,0.8852713108062744
0.1,DBSCAN,48.726860960873275,57.02392294241212,22.90853055257193,0.9034006876179214,0.8665122973903248,7.984807968139648
0.1,DBSCANR,19.868267719683693,28.434589703412243,28.9527330558531,0.9326356821367275,0.9637503522118906,10.19674015045166
0.1,AR-DBSCAN,48.874816596021134,57.17024516835422,22.886271282720955,0.903368918766604,0.8716399118665408,10.684576988220215
0.1,GB-DBSCAN,48.72381491416718,57.02179594516794,22.908854543047074,0.9034009151445654,0.8665122973903248,45.008833169937134
